source,target
within the province of ontario there are a limited number of retinal specialists for a large and geographically diverse population of  EOS million people in  EOS because the majority of these specialists are located in larger urban centers many rural patients have difficulty travelling the significant distance from their communities to the city  EOS currently in ontario optometrists are responsible for triaging retinal eye diseases emergency referrals such as endophthalmitis are organized by same day telephone consultations while more routine referrals are scheduled by fax  EOS this current method of triage has particular important considerations  EOS because of the limited number of retinal specialists long wait times can lead to permanent vision loss if the referral is inaccurate where the patient should have been seen and treated sooner instead of later such as the case of wet age related macular degeneration wamd and diabetic macular edema dme  EOS in addition essential vision tests such as fluorescein angiography fa are often available only in a hospital setting rather within physician or optometrists office  EOS for patients from rural or remote communities this inconvenience could result in lost wages a long return trip back the next day or even an overnight stay  EOS teleophthalmology is a branch of telemedicine that delivers eye care through digital equipment and telecommunications technology  EOS it offers some unique advantages such as the ability to be integrated with electronic health records the ability to be viewed by multiple members of the health care team and potentially reduce wait times and travel times to the ophthalmologist  EOS within canada there have been different teleophthalmology initiatives to provide access to specialists to optometrists and primary care practitioners particularly in rural and remote areas improving ophthalmologic care and reducing unnecessary patient travel expenditures  EOS these teleophthalmology systems can include fundus and optical coherence tomography oct images to aid the ophthalmologist in more accurately diagnosing and triaging the referral  EOS hanson et al  EOS in a retrospective case series noted that tele referrals to retinal specialists from optometrists reduced average travel time travel distance and the number of office visits to retina specialists while improving efficiency of clinical examination testing and treatment  EOS however there currently is no research known to the study team that actively compares the time to treatment for patients based on teleophthalmology referral and assessment versus a conventional paper referral system from optometrists to retinal specialists  EOS for conditions like wamd and dme related to diabetic retinopathy that are often referred via teleophthalmology the difference in time to treatment could prevent vision loss  EOS the inclusion of fundus and oct images in teleophthalmology could also improve triage accuracy and prioritization of referrals and appointments to the retinal specialist  EOS this study focuses on comparing the time to treatment for a tele retinal referral system to a paper referral system by focusing on two prevalent retinal conditions wet amd and dme  EOS the results could demonstrate that tele ophthalmology can reduce the time to treatment for patients with wet amd and dme in ontario improving access to retinal specialists and allowing for more efficient triage of patients  EOS,in this province optometrists are often responsible for contacting the retinal specialists office to arrange patients to be examined for suspected emergencies or more routine referrals related to the eye  EOS this is often done by faxing a referral form to the specialists office where the retinal specialist will examine the information presented in the referral form and make a decision on when the patient should be seen  EOS this current method has some important considerations such as the difficulty of transmitting clear images of the back of the eye over fax  EOS having this information could help the retinal specialist in determining when the patient should be seen especially in terms of booking additional tests or when treatment should be given  EOS teleophthalmology is a branch of telemedicine that delivers eye care through digital equipment and telecommunications technology  EOS it offers some unique advantages such as the ability to be integrated with electronic health records the ability to be viewed by multiple members of the health care team and potentially reduce wait times and travel times to the ophthalmologist  EOS however there is no comparison known to the study team between whether patients being referred from optometrists to retina specialists through a teleophthalmology system will be treated earlier than patients through a conventional fax system  EOS this study aims to examine and provide more information on this topic  EOS
background celiac disease is a complex inflammatory disorder with an autoimmune component characterized by a dramatic expansion of intraepithelial cytotoxic t lymphocytes that usually regress on a gluten free diet  EOS it is estimated that approximately of patients become refractory on a gluten free diet  EOS a subgroup of refractory celiac disease is characterized by expansion of a highly oligoclonal intraepithelial t lymphocyte population that exhibits a high risk of developing enteropathy associated t cell lymphoma eatl  EOS there is presently no effective therapy for refractory celiac disease  EOS a number of studies indicate that intestinal epithelial derived il plays a critical role in the disrupted intraepithelial lymphocyte homeostasis and lymphomagenesis that characterizes refractory celiac disease  EOS a pivotal role for il in refractory celiac disease and eatl is further supported by the finding that in two murine models of celiac disease the pathognomonic features were reversed completely by administration of an antibody to cd il il r beta that blocks il transpresentation and action  EOS a phase i clinical trial in patients with t cell lgl and hematocytopenia using the monoclonal antibody hu mik beta that blocks il action produced under cgmp conditions by the bdp nci has been completed in the metabolism branch nci at the clinical center nih  EOS objectives primary objectives phase i trial to define the safety of hu mik beta infusions to groups of patients each with refractory celiac disease at escalating  EOS patients and  EOS patients mg kg doses  EOS to define the clinical efficacy of hu mik beta infusions in patients with refractory celiac disease and to correlate these findings with celiac disease specific tests  EOS secondary objectives definition of the receptor saturation capacity on cd il il r beta of intravenously administered hu mik beta administered at  EOS and  EOS mg kg body weight to groups of patients on three occasions separated by weeks in patients with refractory celiac disease  EOS determine the immunogenicity of intravenously administered hu mik beta  EOS determine the effects of hu mik beta on the phenotype and the state of activation of the elements of the cellular immune system in the circulation and in intestinal biopsies with special focus on the cells implicated in the pathogenesis of celiac disease  EOS eligibility patients with refractory celiac disease rcd defined by the following internationally accepted criteria persistent or recurrent symptoms diarrhea weight loss and abdominal pain associated with intestinal damage characterized by partial to total villous atrophy with intraepithelial lymphocytes defined by intraepithelial lymphocytes per epithelial cells despite strict adherence to a gluten free diet for months  EOS lack of antibodies to hu mik beta  EOS patients are not to have circulating antibodies to tissue transglutaminase that are greater than assay units using recombinant human transglutaminase antibodies  EOS design patients will be enrolled and treated at the mayo clinic with the university of chicago and the clinical center at the nih involved as laboratory sites  EOS this is a nonrandomized openlabel phase i trial  EOS in this phase i trial initial patients are enrolled to receive  EOS mg kg of hu mik beta patients  EOS patients receive hu mik beta every weeks for a total of doses given on day week and week  EOS at specific points in time the patients are monitored see below  EOS if or more of the patients receiving  EOS mg kg of hu mik beta experience a nci ctcae version  EOS grade or greater toxicity with the exception of fatigue of days duration possibly probably or definitely related to the infusion of hu mik beta subject enrollment and dosing is stopped  EOS at the completion of week the safety data are reviewed by the principal investigator and dsmb  EOS if the safety data in the  EOS mg kg cohort are acceptable the sponsor may then enroll additional patients in doses greater than  EOS mg kg evaluated in a similar manner as the  EOS mg kg e  EOSg  EOS more patients to receive mg kg hu mik beta every weeks for a total of doses  EOS modification three subjects completed study dosing with  EOS mg kg without serious adverse events  EOS two subjects were then randomized to  EOS mg kg dose and both experienced serious adverse events with a possible connection to the agent  EOS subject experienced an event during the study acute diverticulitis associated with free intraperitoneal air treated with antibiotics with resolution  EOS subject who also received  EOS mg kg experienced a colon perforation many months after completing dosing associated with severe constipation  EOS these events were reviewed by the dsmp  EOS it was determined that even though direct cause and effect cannot be established because these occurred in subjects treated with the  EOS mg kg that dose escalation be abandoned and the study completed with the lowest dose used  EOS mg kg  EOS this modification proposed that any further subjects be recruited only at the  EOS mg kg dose in the remaining subjects  EOS monitoring at specific points in time the following cardiac tests studies are obtained the results reviewed prior to subsequent doses at week and week i  EOS ekg at screening week to day week week and week  EOS ii  EOS ck mb and troponin i at screening week to day day week week and week  EOS in addition an echocardiogram at screening week to and week  EOS facs of peripheral blood mononuclear cells and peroral intestinal biopsies for expression of nkg d cd nkg c nkg a nkb nkb cd and granzyme  EOS immune profiling on intestinal biopsies performed on the first infusion and one week or days following the third infusion to analyze for cd t cells tcr gamma rearrangements by multiplex pcr and fluorescence analysis of cd and cd expression high resolution pcr expression for immunoglobulin gene rearrangement and for iel erk and jnk phosphorylation reflecting abnormal iel activation  EOS furthermore il il r alpha and interferon alpha expression will be assayed in the cells of the intestinal biopsy and in the serum  EOS facs of pbmcs with hu mik beta and hu mik beta to define saturation of cd il il r beta  EOS endpoints complete clinical response and by clinical biochemical results at the week time point  EOS secondary partial response duration of response toxicities immunogenicity of hu mik beta  EOS,background celiac disease is a condition where the immune system attacks the cells of the small intestine  EOS the intestine becomes inflamed and cannot digest food properly  EOS the disease most often causes a reaction to foods that contain gluten  EOS most people can treat celiac disease with a gluten free diet  EOS however some people have digestion problems even on a gluten free diet  EOS researchers want to try a new antibody therapy for celiac disease  EOS the treatment may block the immune reaction that causes the disease  EOS they will test this antibody in people who have celiac disease that has not responded to a gluten free diet  EOS objectives to see if antibody therapy is a safe and effective treatment for celiac disease that has not responded to standard treatments  EOS eligibility individuals at least years of age who have been on a gluten free diet for to months but still have symptoms of celiac disease  EOS design participants will be screened with a physical exam and medical history  EOS blood samples will be collected  EOS these samples will help determine if the specific antibody treatment is likely to work  EOS before the start of the study participants will have a biopsy of the small intestine  EOS participants will receive three doses of the study antibody as injections  EOS these doses will be given weeks apart  EOS treatment will be monitored with blood tests and heart function tests  EOS participants will also have a second small intestine biopsy within a week after the last dose of the antibody  EOS
objective the young hearts strong starts study was designed to test strategies to facilitate adoption of the integrated guidelines for cardiovascular health and risk reduction in children and adolescents among pediatric and family medicine providers  EOS the study compares quality measures based on the guidelines for two dissemination strategies a multi faceted practice directed intervention or standard dissemination  EOS methods two primary care research networks recruited practices and provided support for the intervention and outcome evaluations  EOS individual practices were randomly assigned to either the intervention or control groups using a cluster randomized design based on network affiliation number of clinicians per practice urban vs  EOS nonurban location and practice type  EOS in this design the units of observation are individual children because outcomes are abstracted from medical records for individual patients  EOS the units of randomization are physician practices  EOS this results in a multilevel design in which patients are nested within practices  EOS implementation the intervention practices receive toolkits including guideline summaries and slides a patient and family behavior change workbook and a clinical decision support tool  EOS guideline implementation was promoted through an introductory academic detailing session and the use of an ongoing e learning group  EOS the intervention strategy was further enhanced by aligning this project with the american board of pediatrics quality improvement maintenance of certification moc requirements and offers voluntary moc participation to participants  EOS moc participation includes the creation of a practice aims statement monthly physician self abstraction to track progress throughout the intervention and participation in webinar presentations and sharing of best practices  EOS,this is a cluster randomized trial of pediatric cardiovascular risk reduction guideline implementation in clinical practice
non alcoholic fatty liver disease nafld is a pathologic condition which involves both hepatic steatosis and non alcoholic steatohepatitis nash as the result of fat accumulation in the liver liver fat of liver weight not due to excess alcohol consumption or other causes of steatosis  EOS its prevalence ranges in the general population from while in obese individuals can reach the and is particularly worrying because these people appear to have a higher mortality from both liver and non liver related disease such as cardiovascular disease and therefore a greater economic burden of health costs  EOS at present no medication or surgical procedure has been approved for treating nafld and lifestyle modifications remain the cornerstone therapy targeting both at weight reduction for overweight subjects and at prevention of overweight for the normal weight individuals  EOS given that a mediterranean dietary pattern has a beneficial effect both on the prevention and the resolution of the metabolic syndrome the main aim of the present study is to implement and evaluate the potential benefits of an intervention based on the mediterranean lifestyle in a sample of patients with nafld  EOS a secondary aim will be to produce material for both health professionals namely dietitians and doctors and patients to help them implementing such an intervention based on the mediterranean lifestyle  EOS this study will be a prospective randomized blinded and controlled study  EOS participants with nafld and bmi kg m range kg m will be included  EOS nafld s diagnosis will be based on increased serum levels of alanine aminotransferase alt with or without increased gamma glutamyl transpeptidase ggt serum levels the presence of hepatic steatosis and absence of other causes of hepatic steatosis and hepatic failure  EOS at baseline patients will be informed about the study and will give their written consent  EOS then subjects will be randomly assigned to one of groups a control group receiving written general advice for a healthy lifestyle b mediterranean diet group or c mediterranean lifestyle group  EOS participants in b and c groups will attend a more comprehensive program comprising seven min group counseling sessions conducted every two weeks for the first months and every month for the following months until the month evaluation  EOS participants will be also assessed months after their entry in the study  EOS the dietary intervention and the monitoring will be carried out in the laboratory of clinical nutrition dietetics at harokopio university where experienced clinical dietitians will conduct all consultations  EOS counseling will be based on the goal setting theory  EOS motivational and behavioral strategies will be also used  EOS in the mediterranean diet group all food groups of the mediterranean diet will be targeted whereas in the mediterranean lifestyle group culinary practices seasonality and locality of food products socialization during meals rest during the day as well as the adoption of an active living will be additionally addressed  EOS intervention will also aim at achieving a weight loss within the first months  EOS patients will be evaluated at baseline at the end of the mo intervention and year after the study entry  EOS at baseline all patients will undergo a brief medical history assessment complete physical examination and routine laboratory testing  EOS history of alcohol consumption will be obtained from both patients and friends relatives where possible  EOS evaluation of anthropometric measurements dietary intake physical activity and lifestyle habits will be continuously assessed throughout the study  EOS dietary intake will be assessed through two hour recalls and a food frequency questionnaire ffq  EOS data from recalls will be analyzed in terms of energy macro and micronutrient intake using the nutritionist pro version  EOS software as well as of food group intake and meal patterns  EOS conditions around eating will be also recorded and analyzed  EOS furthermore a semi quantitative ffq including the main food groups of the mediterranean diet will be used for the overall assessment of eating habits  EOS physical activity will be assessed using the harokopio physical activity questionnaire hpaq  EOS sleep duration and quality will be evaluated through the athens insomnia scale consisting of items related to sleep induction awakenings during the night final awakening total sleep duration and sleep quality well being functioning capacity and sleepiness during the day  EOS current and past smoking habits will be also recorded  EOS at baseline and at and months blood samples will be collected after an overnight food deprivation for the assessment of biochemical markers and stored at oc  EOS lipid profile markers of glucose metabolism and liver function and adipokines inflammatory markers and markers of oxidative stress will be determined using automated analyzers and or commercial elisa kits  EOS all patients will pass through liver stiffness measurements with liver elastography at baseline as well as at the end of the intervention and after one year of the study entry  EOS patients without a recent liver biopsy within the previous months will also undergo liver biopsy at baseline  EOS liver biopsies will be repeated one year after and will be evaluated by the same hepato pathologist who will have access to patient s clinical data  EOS,non alcoholic fatty liver disease nafld is considered as the hepatic manifestation of the metabolic syndrome  EOS nafld is a pathologic condition which involves both hepatic steatosis and non alcoholic steatohepatitis nash as the result of fat accumulation in the liver liver fat of liver weight not due to excess alcohol consumption or other causes of steatosis  EOS at present no medication or surgical procedure has been approved for treating nafld and lifestyle modifications remain the cornerstone therapy targeting both at weight reduction for overweight subjects and at prevention of overweight for the normal weight individuals  EOS given that a mediterranean dietary pattern has a beneficial effect both on the prevention and the resolution of the metabolic syndrome the main aim of the present study is to implement and evaluate the potential benefits of an intervention based on the mediterranean lifestyle in a sample of patients with nafld  EOS
although most people with pancreatic cancer suffer distressing pain it is poorly controlled  EOS currently medical management has been focused on frequent use of opioid painkillers narcotics which are associated with several complications  EOS pain in pancreatic cancer is mainly caused by tumor invasion to nerves near pancreatic gland but in certain patients with pancreatic cancer pain is believed to be obstructive in nature and is due to outflow obstruction of main pancreatic duct pd which extracts pancreatic secretions  EOS this kind of pain is specifically marked by pain occurring after eating  EOS with this respect decompression of pancreatic duct has been associated with pain relief in people with chronic inflammation of pancreas due to obstruction of its main duct chronic pancreatitis  EOS therefore we think that it might be beneficial in the management of obstructive pain in people with pancreatic cancer  EOS endoscopic stenting of pancreatic duct is a way for decompression and appears to be effective and safe palliative pain relief treatment for pain management in patients with chronic pancreatitis  EOS besides safety pancreatic stenting seems to be associated with a significant decrease in amount of required opioids and analgesic drugs and their side effects for pain management and may improve patients quality of life  EOS there are only a few old reports about beneficial effects of endoscopic pancreatic duct decompression for relief of obstructive pain in pancreatic cancer  EOS currently we have improved stents  EOS since prior clinical practice has shown that pain improves we plan to place stents with the expectation that pain will improve  EOS we hope that it will decrease need for recurrent hospitalizations for pain control and decrease in need for medications narcotics and medication side effects and also will improve the quality of life  EOS specific instruments will be applied as research tools to monitor pain score and quality of life before and after pancreatic duct stenting in this study  EOS,this research is being done to assess the effects of pancreatic duct stenting on relief of obstructive pain pain due to outflow obstruction of main pancreatic duct caused by pancreatic cancer  EOS
children receiving chemotherapy for cancer at the jimmy everest center for cancer and blood disorders in children also often receive an iv dose of an antiemetic for prophylaxis  EOS the most common antiemetics used are in the family of ht antagonists specifically granisetron and ondansetron  EOS prior to a recent recommendation by the fda we have used ondansetron  EOS mg kg iv  EOS based on adult ecg data the recommended dose of ondansetron has been changed to no greater than  EOS mg kg  EOS we have prior studies showing that the bigger dose is better at preventing nausea and vomiting  EOS therefore we are studying ecg data in patients receiving ondansetron and chemotherapy  EOS each subject will have two identical cycles of chemotherapy  EOS prior to the first of the two cycles they will be randomized to receive one of two doses of ondansetron with the first cycle and the other dose with the second cycle  EOS the two doses are the recommended dose of  EOS mg kg and a higher dose of  EOS mg kg  EOS the dose level the patient receives each cycle will be blinded to the investigator and the subject  EOS prior to the first dose of investigational ondansetron the patient will have an ecg  EOS this ecg will be repeated minutes after the ondansetron is administered and just before chemotherapy administration and repeated again minutes later  EOS the change in the qtc intervals will be calculated by two independent pediatric cardiologists who are also blinded to the ondansetron dose level received  EOS this process will be repeated with the next course of chemotherapy with the second dose of ondansetron  EOS our goal is to see if there is an appreciable difference between the two doses in the qtc interval changes they induce  EOS,we will study the effects of ondansetron on measurements of electrical activity in the heart to make sure doses we are using to prevent nausea and vomiting in children receiving chemotherapy are safe  EOS
a parallel placebo controlled single center prospective randomized double blind pilot trial to demonstrate bimatoprost  EOS efficacy in eyebrow hypotrichosis in otherwise healthy individuals with thinning eyebrows  EOS bimatoprost  EOS or placebo will be applied to the eyebrow margin once daily for weeks  EOS adverse events will be assessed and subjects will complete outcomes questionnaires at study visits  EOS eyebrow growth and darkening will be scored by the investigator and photography will be taken at each study visit  EOS eyebrows are generally composed of three types of hairs fine vellus hairs are the smallest with the second type slightly larger lightly pigmented hairs  EOS the supercilia are the large terminal hairs which are the most visible and are primarily responsible for color and shape of the brow  EOS eyelashes are composed of terminal hairs and it has been well demonstrated that bimatoprost application on these hairs will render them longer thicker and darker allergan protocol  EOS it has also been demonstrated that bimatoprost will darken vellus hair making them more visible  EOS it may be that administering bimatoprost to the eyebrows will cause the terminal hair to become longer thicker and darker and make the vellus and lightly pigmented hairs become more noticeable thus increasing the intensity and fullness of the entire brow  EOS multiple studies have been conducted to assess the safety and efficacy of the application of bimatoprost solution to the eyelid for growth of natural eyelashes yoelin s et al  EOS in active controlled phase studies for lumigan eyelash growth was reported as an adverse event after months of treatment of subjects receiving bimatoprost once daily allergan studies and  EOS the application of bimatoprost solution to the eyelid has proven to be effective in enhancing eyelash growth in women when applied daily for weeks cohen jl  EOS this drug effect has been formally acknowledged in the lumigan package insert appendix  EOS further supporting the bimatoprost s effect on eyelash growth  EOS the package insert indicates that lumigan may gradually change eyelashes with regard to increased length thickness pigmentation and number of eyelashes  EOS since its us approval in several adverse events of growth of eyelashes have been reported in conjunction with the use of lumigan  EOS subjects will be randomized to track a active study drug bimatoprost  EOS solution or to track b placebo  EOS each track will apply the same dose drop per eyebrow once daily to determine the safety and efficacy of bimatoprost  EOS solution versus placebo  EOS,this is a study researching the safety and efficacy of bimatoprost  EOS soultion versus placebo applied to the eyebrow for the treatment of thinning eyebrows  EOS this is a week study where bimatoprost  EOS solution placebo will be applied once daily to the subjects eyebrow for duration of the study  EOS
preterm infants are born at biological risk for poor health and developmental outcomes and those born to low income families face additional social risks known to further interfere with healthy child development  EOS in its report preterm birth the institute of medicine iom stated the public health importance of optimizing the developmental outcomes of preterm infants and specifically called for novel postnatal intervention strategies to accomplish this goal  EOS our proposed strategy is based on the premise that preventing maternal depression and optimizing maternal functioning in specific domains that mediate the relationship between maternal depression and adverse child effects will ultimately improve the developmental outcomes of this vulnerable child population  EOS problem solving education pse is a cognitive behavioral strategy that aims to impart recipients with skills to reduce the impact of stress on personal functioning and thereby prevent depression  EOS the present project is a randomized trial of a session intervention based on pse  EOS the investigators aim to enroll mother infant dyads in four nicus boston medical center tufts medical center beth israel deaconess medical center and brigham and womens hospital  EOS over months of follow up the investigators will assess the effects of pse on a series of outcome measures for mothers a series of measures that represent risk mechanisms by which maternal depression is theorized to impact young children and a series of child functioning measures  EOS  EOS primary aims  EOS regarding outcomes for mothers the investigators aim to  EOS decrease the incidence of major depressive episode mde and improve depressive symptom trajectories during the first postpartum year and  EOS improve general and parental functioning as measured by valid and reliable scales  EOS  EOS secondary aims  EOS regarding risk mechanisms and child outcomes the investigators aim to  EOS improve mothers sense of mastery and decrease their caregiver burden and social isolation  EOS improve adherence to evidence based quality indicators for nicu follow up care  EOS improve maternal sensitivity and mother child interaction patterns and  EOS improve infant social engagement emotionality and cognitive functioning  EOS  EOS exploratory aims  EOS the investigators will explore the role of a brief set of potential intervention moderators  EOS on the infant level severity of infant illness  EOS  EOS on the maternal and family level maternal trauma history extended family functioning and intervention adherence  EOS,the investigators goal is to optimize the developmental outcomes of preterm infants by preventing depression and improving functioning among their mothers during the critical first year of life  EOS the investigators are conducting a randomized controlled trial of a replicable lay delivered intervention the basic approach of which is to use an empirically supported cognitive behavioral strategy to help mothers solve their unique daily problems and address some of the predictable challenges to parenting a preterm infant  EOS
description of the study design the study will enroll hiv infected patients on a stable art regimen with a suppressed hiv rna copies ml for at least one year  EOS patients will be switched to the experimental regimen maraviroc mg twice a day plus either raltegravir mg twice a day or dolutegravir mg once a day and followed for weeks  EOS the decision to use raltegravir or dolutegravir will be left to investigator subject preference as the two integrate inhibitors are largely interchangeable aside from twice daily raltegravir vs  EOS daily dolutegravir dosing  EOS primary endpoint the primary endpoint is the proportion of patients virologically suppressed hiv rna copies ml at weeks  EOS definitions virologic suppression is an hiv rna copies ml  EOS virologic failure is an hiv rna copies ml confirmed on separate occasions separated by week after viral suppression  EOS secondary endpoints the percent change in total cholesterol ldl and hdl at and weeks  EOS the number of adverse events  EOS the proportion of patients who are virologically suppressed hiv rna copies ml at weeks  EOS exploratory endpoints telomerase activity and telomere length measured at baseline and and weeks  EOS,this clinical study proposes to evaluate the combination of maraviroc with an integrase strand transfer inhibitor either raltegravir or dolutegravir in antiretroviral experienced patients to document the efficacy safety and tolerability of this combination in order to provide clinicians with a treatment regimen that minimizes the risk of metabolic complications by avoidance of nrti nnrtis and pis  EOS the development of an alternative art regimen which lessens the risk of metabolic complications could improve long term adherence and reduce the risk of certain co morbidities associated with long term art use  EOS if this new combination is found to be as efficacious as the standard regimen with enhanced tolerability and improved metabolic effects there is great potential for altering the current practice of hiv medicine  EOS
the purpose of this study is to use a closed loop control to range ctr system in adolescents with type diabetes in an outpatient setting and to evaluate the ctr system s ability to significantly improve blood glucose levels when an insulin bolus is omitted for a gram carbohydrate snack and when insulin bolus is insufficient for the amount of carbohydrates consumed for a meal  EOS the ctr system is comprised of two algorithmic layers i a safety supervision module ssm which contains a predictive insulin request dampener or brakes ii a range correction module rcm consisting in a a hyperglycemia mitigation system and b insulin on board controller  EOS both modules will receive continuous glucose monitoring cgm and historical insulin delivery data  EOS the ssm will monitor the safety of the subject s continuous subcutaneous insulin infusion pump csii to prevent hypoglycemia  EOS the rcm will be responsible for optimizing blood glucose bg control and mitigating postprandial hyperglycemic excursions through a mix of increased basal rate and potentially isolated insulin boluses  EOS to run ctr we will use our wearable artificial pancreas platform known as dias diabetes assistant which consists of a smart phone running ctr and connected to standard insulin delivery and cgm devices  EOS,the purpose of this study is to use a closed loop control to range ctr system in adolescents with type diabetes in an outpatient setting and to evaluate the ctr system s ability to significantly improve blood glucose levels when an insulin bolus is omitted for a gram carbohydrate snack and when insulin bolus is insufficient for the amount of carbohydrates consumed for a meal  EOS the primary objective of this study is to use a closed loop control to range ctr system to significantly reduce the post prandial blood glucose excursion in adolescents with type diabetes who omit and or under bolus insulin for either snacks or meals  EOS up to subjects aged and years old will be tested  EOS
in previous psychological studies our team found high level psychological stress in over of cancer patients  EOS this may cause numerous problems including anorexia which together with biological disturbances can initiate cancer related catabolism even when it can not yet be seen  EOS in this study we want to answer the question if oral nutritional supplementation can help the patient overcome the catabolism in its initial phase and improve nutritional status which would result in reduced number of postoperational complications,the aim of the study was to assess the effect of nutritional supplementation on nutritional status and postoperational complications in cancer patients with no clinical signs of malnutrition
we hypothesize that the filmarray blood culture id panel will reduce the duration of empiric broad spectrum antimicrobial therapy typically administered in patients who have positive blood cultures improving clinical outcome and reducing cost  EOS to test this hypothesis we propose a prospective randomized controlled study comparing outcomes among patients with positive blood cultures who receive either standard culture and antimicrobial susceptibility testing ast of positive blood culture bottles as is done today control standard culture and ast of positive blood culture bottles plus the filmarray blood culture id panel intervention group or standard culture and ast of positive blood culture bottles plus the filmarray blood culture id panel testing along with expert infectious diseases phone consultation intervention group  EOS in both intervention groups results of the filmarray test will be communicated by phone to the primary service along with templated comments about optimal antimicrobial therapy based on the result  EOS templated comments will also be used in the control group  EOS in intervention group an infectious diseases pharmacist or physician will provide patient specific recommendations to modify antimicrobial therapy if appropriate based on microbiology results and clinical information obtained through medical record review and discussion with the primary service  EOS,would rapid identification of bacteria and rapid detection of methicillin resistant s  EOS aureus mrsa and vancomycin resistant enterococci vre using an fda cleared assay in positive blood culture bottles improve patient care at mayo clinic rochester or just lead to increased cost ?
the physiodoloris metrodoloris lille france monitor ce marqued uses the ecg signal in order to compute the analgesia nociception index ani which has been shown to measure the relative parasympathetic tone and hence to reflect the analgesia nociception balance during general anesthesia  EOS the primary endpoint of this randomized multicenter study is to measure whether there is a benefit to use the ani in order to adapt remifentanil administration during propofol anesthesia for laparoscopic surgery  EOS primary endpoint is lesser proportion of patients presenting with at least one episode of hemodynamic reactivity hypotension or bradycardia in the ani guided group vs control group ?,the physiodoloris metrodoloris lille france monitor ce marqued uses the ecg signal in order to compute the analgesia nociception index ani which has been shown to measure the relative parasympathetic tone and hence to reflect the analgesia nociception balance during general anesthesia  EOS the primary endpoint of this randomized multicenter study is to measure whether there is a benefit to use the ani in order to adapt remifentanil administration during propofol anesthesia for laparoscopic surgery  EOS primary endpoint lesser proportion of patients presenting with at least one episode of hemodynamic reactivity hypotension or bradycardia in the ani guided group vs control group ?
the overall goal of this study is to evaluate the influences of oncologists and patients loved ones on cancer treatment decision making  EOS the specific aims are aim test the feasibility of identifying and interviewing health care triads patients loved ones and oncologists in a research study about treatment decisions  EOS aim assess perceptions of the decision making experience from the perspective of three parties within the health care triad patients loved ones and oncologists and examine the relationships among the triadic perspectives  EOS aim explore concordance or discordance within the triad about cancer treatment decisions and assess decisional conflict decisional regret and distress  EOS this is an exploratory pilot study of health care triads  EOS triads will include a patient diagnosed with advanced cancer a loved one and an oncology provider  EOS in a few instances the study team may interview more than one oncologist or loved one per patient  EOS in phase one of recruitment oncologists will be recruited and enrolled  EOS in phase two the study team will recruit patients who receive care from at least one enrolled oncologist and at least one of the patient s friends or family members  EOS while oncology providers may participate in the study with multiple patients and their loved ones the patients will be unique to each triad  EOS investigators anticipate enrolling two triads per week for a total of three months  EOS they will utilize mainly qualitative methods and specifically content analysis in this exploratory pilot study to further hone and develop research questions and aims for a larger study with appropriate statistical power test the feasibility of recruiting health care triads in the oncology context and strengthen our study design protocols and surveys  EOS the investigators plan to use an iterative process of coding to allow for protocol and survey revisions and in particular the inclusion of new probes during the study  EOS the codebook will include inductive and deductive codes related to the general decision making process expectations and decisional outcomes conflict and concordance between members of the triad and other relevant topics  EOS two coders will review each interview and the team will review for themes and exemplars  EOS the investigators plan to pilot three scales in this study that might be used in a larger future study  EOS,the purpose of this pilot study is to test the feasibility of identifying and interviewing healthcare triads patients loved ones and oncologists in a research study and evaluate the influences of patients loved ones and oncologists on cancer treatment decision making  EOS the study team plans to explore concordance or discordance within the triad about the decisions and also assess decisional conflict regret and distress  EOS study methods involve interviewing a total of patients their loved ones and oncologists about past cancer treatment decisions  EOS analysis will consist mainly of qualitative content analysis  EOS the investigators do not anticipate risk or safety issues beyond loss of confidentiality or minimal discomfort while discussing a cancer treatment decision  EOS
